full_name,address,email
"Arif Lal Lamichane","1770 New Road",arif.lamichane43@example.com
"Sandeep Dhoj Bhurtel","1062 Chabel",sandeep.bhurtel44@example.com
"Kushal Dev Seikh","5938 Ekantakuna",kushal.seikh45@mail.com
"Kushal Bhopal Malla","1567 Baneshwor",kushal.malla46@test.com
"Kushal Kumar Malla","3759 Chabel",kushal.malla47@example.com
"Paras Kumar Kami","7968 New Road",paras.kami48@mail.com
"Arif Bhopal Bhandari","8395 Tinkune",arif.bhandari49@test.com
"Sandeep Kumar Seikh","7979 Jawalakhel",sandeep.seikh50@example.com
"Kushal Lal Seikh","9107 New Road",kushal.seikh51@mail.com
"Asif Bir K.C","8853 Gaushala",asif.k.c52@mail.com
"Sandeep Gopal Paudel","639 Sundhara",sandeep.paudel53@random.org
"Lalit Bhopal Kami","6036 Jawalakhel",lalit.kami54@demo.net
"Sompal Gopal Kami","3012 Ratnapark",sompal.kami55@random.org
"Sompal Dhoj Paudel","8431 Sundhara",sompal.paudel56@test.com
"Sandeep Dhoj K.C","5077 Jawalakhel",sandeep.k.c57@example.com
"Lalit Lal Bhandari","6278 Ekantakuna",lalit.bhandari58@random.org
"Paras Gopal Seikh","5008 Jawalakhel",paras.seikh59@random.org
"Arif Krishna Bhurtel","824 Ratnapark",arif.bhurtel60@test.com
"Sandeep Kumar Kami","1397 New Road",sandeep.kami61@test.com
"Karan Bhagat Rajbanshi","4897 New Road",karan.rajbanshi62@demo.net
"Asif Kumar Lamichane","5490 Ekantakuna",asif.lamichane63@demo.net
"Sompal Bhopal Kami","8338 Tripureshwor",sompal.kami64@random.org
"Sompal Gopal Lamichane","5942 Chabel",sompal.lamichane65@demo.net
"Sompal Bir Bhurtel","469 Jawalakhel",sompal.bhurtel66@demo.net
"Rohit Bhagat Paudel","1328 Ratnapark",rohit.paudel67@demo.net
"Karan Kumar Khadka","5250 Sundhara",karan.khadka68@mail.com
"Binod Bahadur Malla","5947 Tripureshwor",binod.malla69@mail.com
"Kushal Lal Lamichane","5328 Baneshwor",kushal.lamichane70@demo.net
"Kushal Bhagat Lamichane","8628 Ekantakuna",kushal.lamichane71@random.org
"Sandeep Lal Seikh","2352 Jawalakhel",sandeep.seikh72@test.com
"Arif Dev Malla","2229 Tripureshwor",arif.malla73@mail.com
"Sompal Bhopal Bhurtel","7664 Gaushala",sompal.bhurtel74@test.com
"Paras Dhoj Malla","522 New Road",paras.malla75@mail.com
"Sandeep Krishna Bhandari","5742 Tinkune",sandeep.bhandari76@test.com
"Asif Krishna Kami","5907 Sundhara",asif.kami77@demo.net
"Arif Kumar Malla","5153 Tinkune",arif.malla78@mail.com
"Arif Kumar Bhandari","3893 Baneshwor",arif.bhandari79@mail.com
"Binod Bhopal Seikh","1463 Ratnapark",binod.seikh80@random.org
"Arif Bhopal Kami","6581 Tinkune",arif.kami81@random.org
"Paras Gopal Bhandari","7311 Chabel",paras.bhandari82@mail.com
"Arif Gopal Rajbanshi","8685 Ratnapark",arif.rajbanshi83@test.com
"Karan Bir Rajbanshi","8780 Gaushala",karan.rajbanshi84@demo.net
"Kushal Krishna Malla","4985 Baneshwor",kushal.malla85@example.com
"Arif Bir Seikh","6652 Ratnapark",arif.seikh86@random.org
"Karan Bhagat K.C","3433 Tripureshwor",karan.k.c87@demo.net
"Lalit Bhagat Rajbanshi","4909 Chabel",lalit.rajbanshi88@test.com
"Kushal Kumar Seikh","7954 Ratnapark",kushal.seikh89@mail.com
"Rohit Lal Khadka","566 Tinkune",rohit.khadka90@random.org
"Binod Lal Bhandari","7999 Tinkune",binod.bhandari91@test.com
"Paras Gopal K.C","2896 Baneshwor",paras.k.c92@example.com
"Binod Bhopal Bhurtel","194 Baneshwor",binod.bhurtel93@example.com
"Kushal Bahadur Khadka","7534 Baneshwor",kushal.khadka94@test.com
"Paras Bhagat Khadka","887 Gaushala",paras.khadka95@test.com
"Karan Bahadur K.C","1915 Sundhara",karan.k.c96@random.org
"Kushal Bir Bhandari","2217 Chabel",kushal.bhandari97@demo.net
"Sandeep Bir K.C","7441 Sundhara",sandeep.k.c98@test.com
"Karan Bhopal Bhurtel","5592 New Road",karan.bhurtel99@random.org
"Binod Gopal Bhandari","853 Jawalakhel",binod.bhandari100@demo.net
"Rohit Kumar Malla","1106 Ratnapark",rohit.malla101@demo.net
"Arif Kumar Malla","3475 Baneshwor",arif.malla102@example.com
"Paras Dhoj Lamichane","9666 Gaushala",paras.lamichane103@test.com
"Kushal Dev Rajbanshi","3906 Tinkune",kushal.rajbanshi104@random.org
"Sandeep Bhopal Paudel","7913 New Road",sandeep.paudel105@example.com
"Binod Bahadur Bhurtel","7863 Tripureshwor",binod.bhurtel106@demo.net
"Arif Dev Khadka","5067 Tripureshwor",arif.khadka107@example.com
"Kushal Bhagat Paudel","7603 Tripureshwor",kushal.paudel108@test.com
"Arif Lal Lamichane","1956 Tinkune",arif.lamichane109@random.org
"Sompal Dev K.C","9849 Gaushala",sompal.k.c110@demo.net
"Sompal Krishna Rajbanshi","2588 Ekantakuna",sompal.rajbanshi111@random.org
"Sompal Bhopal Kami","2685 Chabel",sompal.kami112@mail.com
"Binod Lal Paudel","4613 Tripureshwor",binod.paudel113@demo.net
"Rohit Dev Lamichane","7419 Tripureshwor",rohit.lamichane114@random.org
"Binod Bahadur Lamichane","9258 Gaushala",binod.lamichane115@random.org
"Rohit Bir Khadka","7434 Gaushala",rohit.khadka116@example.com
"Paras Bhagat Seikh","3441 Ratnapark",paras.seikh117@demo.net
"Rohit Bhopal Malla","2597 New Road",rohit.malla118@example.com
"Lalit Lal Malla","8931 Tinkune",lalit.malla119@demo.net
"Kushal Bir K.C","4832 Sundhara",kushal.k.c120@mail.com
"Asif Gopal K.C","2316 Ratnapark",asif.k.c121@test.com
"Sompal Lal Khadka","1497 Tinkune",sompal.khadka122@mail.com
"Asif Krishna K.C","2054 Ratnapark",asif.k.c123@test.com
"Paras Lal Bhurtel","8584 Chabel",paras.bhurtel124@example.com
"Lalit Bir Paudel","8382 Ekantakuna",lalit.paudel125@mail.com
"Kushal Lal Khadka","4944 Baneshwor",kushal.khadka126@mail.com
"Arif Bhopal Paudel","3998 Ratnapark",arif.paudel127@mail.com
"Karan Bir Seikh","9617 Tinkune",karan.seikh128@mail.com
"Karan Bhagat Bhurtel","4923 Ratnapark",karan.bhurtel129@example.com
"Karan Dhoj K.C","532 Tinkune",karan.k.c130@example.com
"Arif Dev Paudel","8190 New Road",arif.paudel131@random.org
"Arif Dev Rajbanshi","5944 Ratnapark",arif.rajbanshi132@demo.net
"Kushal Bahadur Bhandari","2792 Jawalakhel",kushal.bhandari133@test.com
"Asif Lal K.C","5885 Tinkune",asif.k.c134@mail.com
"Karan Krishna Khadka","3242 Chabel",karan.khadka135@mail.com
"Karan Bhopal Rajbanshi","6541 New Road",karan.rajbanshi136@example.com
"Lalit Lal Bhurtel","821 Tinkune",lalit.bhurtel137@demo.net
"Kushal Bhopal Paudel","6576 Tripureshwor",kushal.paudel138@random.org
"Kushal Bhopal K.C","5779 Ekantakuna",kushal.k.c139@random.org
"Kushal Lal Rajbanshi","2315 New Road",kushal.rajbanshi140@mail.com
"Paras Bir Khadka","8798 Chabel",paras.khadka141@random.org
"Karan Gopal Kami","723 Baneshwor",karan.kami142@random.org
"Binod Gopal Seikh","843 Chabel",binod.seikh143@random.org
"Paras Dev Seikh","1018 Baneshwor",paras.seikh144@example.com
"Arif Krishna Paudel","164 Tripureshwor",arif.paudel145@test.com
"Arif Bhagat Malla","7500 New Road",arif.malla146@demo.net
"Paras Bhopal Bhandari","215 Gaushala",paras.bhandari147@demo.net
"Rohit Krishna Bhandari","8032 Tripureshwor",rohit.bhandari148@random.org
"Karan Krishna Paudel","7321 Tripureshwor",karan.paudel149@mail.com
"Lalit Dev Kami","9076 Tinkune",lalit.kami150@mail.com
"Arif Dhoj Kami","5014 New Road",arif.kami151@example.com
"Paras Lal Lamichane","9517 Baneshwor",paras.lamichane152@demo.net
"Asif Lal Kami","7894 New Road",asif.kami153@test.com
"Kushal Bhagat K.C","1089 Tinkune",kushal.k.c154@test.com
"Sompal Bhagat Bhandari","8980 Ratnapark",sompal.bhandari155@mail.com
"Kushal Krishna Rajbanshi","2542 Chabel",kushal.rajbanshi156@mail.com
"Rohit Gopal Seikh","8914 Chabel",rohit.seikh157@mail.com
"Rohit Kumar Lamichane","148 Tinkune",rohit.lamichane158@mail.com
"Kushal Dhoj Khadka","1684 Ratnapark",kushal.khadka159@random.org
"Lalit Bahadur Khadka","9071 Chabel",lalit.khadka160@example.com
"Sompal Gopal Malla","8686 Jawalakhel",sompal.malla161@demo.net
"Karan Bhagat Kami","7490 Chabel",karan.kami162@demo.net
"Lalit Bhagat Khadka","8579 Ratnapark",lalit.khadka163@test.com
"Asif Bir Kami","2436 Sundhara",asif.kami164@mail.com
"Lalit Kumar Khadka","9498 Gaushala",lalit.khadka165@demo.net
"Binod Lal Paudel","3918 Jawalakhel",binod.paudel166@demo.net
"Arif Gopal Bhurtel","1778 Tinkune",arif.bhurtel167@random.org
"Sandeep Bhagat Rajbanshi","4723 Ekantakuna",sandeep.rajbanshi168@example.com
"Kushal Krishna Seikh","9807 Ratnapark",kushal.seikh169@demo.net
"Rohit Lal Bhandari","9876 Tripureshwor",rohit.bhandari170@mail.com
"Karan Gopal Lamichane","3823 New Road",karan.lamichane171@demo.net
"Lalit Gopal Bhandari","8442 Ekantakuna",lalit.bhandari172@example.com
"Sandeep Krishna Bhandari","9265 Tinkune",sandeep.bhandari173@test.com
"Binod Bhopal Bhandari","2505 Ekantakuna",binod.bhandari174@mail.com
"Karan Bahadur Bhurtel","3604 Jawalakhel",karan.bhurtel175@mail.com
"Sompal Bhopal Seikh","6983 Baneshwor",sompal.seikh176@random.org
"Karan Bahadur Rajbanshi","1624 Ratnapark",karan.rajbanshi177@random.org
"Asif Bhopal Paudel","9531 New Road",asif.paudel178@random.org
"Karan Bhopal Bhandari","9369 Baneshwor",karan.bhandari179@random.org
"Kushal Krishna Bhandari","9782 New Road",kushal.bhandari180@demo.net
"Karan Lal Bhandari","9483 Chabel",karan.bhandari181@test.com
"Kushal Bhagat Malla","9125 Jawalakhel",kushal.malla182@demo.net
"Sompal Bhopal Seikh","4341 Jawalakhel",sompal.seikh183@random.org
"Sompal Lal Malla","2310 Baneshwor",sompal.malla184@mail.com
"Rohit Bir Kami","9193 Ekantakuna",rohit.kami185@mail.com
"Sandeep Bhagat Khadka","580 Ekantakuna",sandeep.khadka186@demo.net
"Rohit Bhagat Rajbanshi","4244 Ekantakuna",rohit.rajbanshi187@example.com
"Lalit Krishna Seikh","6007 Baneshwor",lalit.seikh188@mail.com
"Rohit Bhagat Rajbanshi","8660 New Road",rohit.rajbanshi189@mail.com
"Arif Dev Paudel","9459 Jawalakhel",arif.paudel190@test.com
"Lalit Dev Lamichane","9007 Tinkune",lalit.lamichane191@mail.com
"Kushal Dev Malla","383 Jawalakhel",kushal.malla192@random.org
"Arif Gopal K.C","2792 Tinkune",arif.k.c193@example.com
"Kushal Lal Khadka","1630 Jawalakhel",kushal.khadka194@mail.com
"Sandeep Bir K.C","4771 Gaushala",sandeep.k.c195@mail.com
"Karan Dhoj Khadka","9727 Ekantakuna",karan.khadka196@test.com
"Asif Krishna Malla","8307 Tinkune",asif.malla197@test.com
"Paras Bahadur Kami","9704 Chabel",paras.kami198@mail.com
"Arif Bahadur Malla","9849 Jawalakhel",arif.malla199@mail.com
"Paras Lal Bhurtel","9482 Jawalakhel",paras.bhurtel200@demo.net
"Paras Krishna Kami","6389 Sundhara",paras.kami201@example.com
"Binod Dhoj Malla","8694 Tripureshwor",binod.malla202@demo.net
"Arif Bir Kami","3684 Tripureshwor",arif.kami203@random.org
"Asif Bahadur Rajbanshi","2966 Ratnapark",asif.rajbanshi204@test.com
"Sandeep Kumar Seikh","5653 Baneshwor",sandeep.seikh205@demo.net
"Karan Bhagat Bhandari","4630 Tripureshwor",karan.bhandari206@test.com
"Binod Bhopal Rajbanshi","7166 Tripureshwor",binod.rajbanshi207@random.org
"Rohit Bhopal Rajbanshi","7544 Tripureshwor",rohit.rajbanshi208@example.com
"Binod Bhopal Khadka","6228 Sundhara",binod.khadka209@random.org
"Lalit Bhagat Paudel","593 Chabel",lalit.paudel210@demo.net
"Arif Bir Rajbanshi","5613 Ratnapark",arif.rajbanshi211@example.com
"Rohit Bahadur Seikh","3672 Gaushala",rohit.seikh212@example.com
"Karan Bhagat Lamichane","9770 New Road",karan.lamichane213@test.com
"Kushal Bahadur Khadka","461 New Road",kushal.khadka214@mail.com
"Arif Lal K.C","7486 Tinkune",arif.k.c215@demo.net
"Karan Kumar Rajbanshi","5178 Tinkune",karan.rajbanshi216@demo.net
"Kushal Bir Kami","8127 Gaushala",kushal.kami217@demo.net
"Sandeep Gopal Malla","2752 Gaushala",sandeep.malla218@example.com
"Karan Bir Lamichane","4120 Chabel",karan.lamichane219@mail.com
"Binod Bahadur Lamichane","5268 Sundhara",binod.lamichane220@test.com
"Binod Bir Paudel","9133 Chabel",binod.paudel221@mail.com
"Arif Bahadur Lamichane","5555 Sundhara",arif.lamichane222@mail.com
"Kushal Bir Rajbanshi","9432 Chabel",kushal.rajbanshi223@test.com
"Karan Kumar K.C","6832 Ratnapark",karan.k.c224@test.com
"Asif Lal Lamichane","2620 New Road",asif.lamichane225@test.com
"Rohit Krishna Malla","9842 Ratnapark",rohit.malla226@demo.net
"Sompal Bhagat Kami","3551 Tinkune",sompal.kami227@test.com
"Arif Bhopal Malla","6614 Ratnapark",arif.malla228@demo.net
"Lalit Lal Seikh","9703 New Road",lalit.seikh229@example.com
"Karan Bhagat Kami","9392 Ratnapark",karan.kami230@demo.net
"Rohit Bir Bhandari","1071 Chabel",rohit.bhandari231@mail.com
"Rohit Dhoj Malla","8252 Baneshwor",rohit.malla232@mail.com
"Kushal Kumar Malla","4877 Chabel",kushal.malla233@demo.net
"Lalit Krishna Paudel","3902 Ratnapark",lalit.paudel234@demo.net
"Kushal Dev Rajbanshi","5375 Gaushala",kushal.rajbanshi235@demo.net
"Rohit Bahadur Malla","8430 Gaushala",rohit.malla236@demo.net
"Lalit Lal Kami","6429 Baneshwor",lalit.kami237@mail.com
"Kushal Bhagat Kami","7171 Chabel",kushal.kami238@mail.com
"Binod Bhopal Lamichane","7836 New Road",binod.lamichane239@example.com
"Kushal Krishna Malla","3689 Jawalakhel",kushal.malla240@example.com
"Rohit Gopal Paudel","2255 Chabel",rohit.paudel241@mail.com
"Sandeep Dhoj Lamichane","6615 Tripureshwor",sandeep.lamichane242@mail.com
"Kushal Bahadur Bhandari","2264 Tinkune",kushal.bhandari243@example.com
"Sompal Bir Lamichane","2512 Tripureshwor",sompal.lamichane244@random.org
"Sandeep Bhopal Seikh","3933 Ratnapark",sandeep.seikh245@test.com
"Asif Bir Rajbanshi","7237 Baneshwor",asif.rajbanshi246@example.com
"Kushal Kumar Kami","2335 Gaushala",kushal.kami247@test.com
"Binod Dev Khadka","5962 Ratnapark",binod.khadka248@example.com
"Asif Bahadur Khadka","9102 Ratnapark",asif.khadka249@random.org
"Paras Krishna Rajbanshi","3900 Baneshwor",paras.rajbanshi250@demo.net
"Sompal Bir Seikh","7418 Baneshwor",sompal.seikh251@random.org
"Asif Kumar Kami","5167 Tinkune",asif.kami252@example.com
"Sompal Bir Rajbanshi","270 Gaushala",sompal.rajbanshi253@test.com
"Paras Bahadur K.C","4653 Ekantakuna",paras.k.c254@random.org
"Kushal Bir Rajbanshi","7739 Ekantakuna",kushal.rajbanshi255@demo.net
"Paras Kumar Khadka","3565 Tinkune",paras.khadka256@example.com
"Binod Bir Lamichane","1149 New Road",binod.lamichane257@test.com
"Arif Gopal Malla","5056 Gaushala",arif.malla258@mail.com
"Binod Dev Bhandari","6169 Baneshwor",binod.bhandari259@demo.net
"Karan Bhagat Bhurtel","4001 Tripureshwor",karan.bhurtel260@mail.com
"Paras Bir K.C","2167 Ratnapark",paras.k.c261@mail.com
"Asif Dhoj Bhurtel","8073 Sundhara",asif.bhurtel262@mail.com
"Asif Gopal Seikh","6650 Baneshwor",asif.seikh263@random.org
"Binod Bhagat K.C","9428 Tripureshwor",binod.k.c264@random.org
"Paras Dev Lamichane","740 Tinkune",paras.lamichane265@test.com
"Asif Lal Kami","4655 Jawalakhel",asif.kami266@demo.net
"Binod Krishna Bhurtel","7048 Tripureshwor",binod.bhurtel267@demo.net
"Karan Bahadur Seikh","9977 Tripureshwor",karan.seikh268@mail.com
"Rohit Dhoj Paudel","6540 Ratnapark",rohit.paudel269@demo.net
"Kushal Lal Bhurtel","475 Gaushala",kushal.bhurtel270@test.com
"Sandeep Dev Khadka","5201 New Road",sandeep.khadka271@demo.net
"Binod Dhoj Lamichane","6017 Chabel",binod.lamichane272@random.org
"Asif Bahadur Malla","2328 Tinkune",asif.malla273@random.org
"Sompal Gopal Bhandari","243 Jawalakhel",sompal.bhandari274@random.org
"Asif Krishna K.C","5675 Jawalakhel",asif.k.c275@demo.net
"Kushal Dhoj Paudel","4992 Sundhara",kushal.paudel276@demo.net
"Arif Lal Malla","3596 Ekantakuna",arif.malla277@random.org
"Arif Kumar Paudel","7903 Jawalakhel",arif.paudel278@random.org
"Binod Kumar Rajbanshi","5170 Jawalakhel",binod.rajbanshi279@random.org
"Binod Kumar Kami","668 Sundhara",binod.kami280@random.org
"Arif Dev Seikh","675 Chabel",arif.seikh281@random.org
"Sompal Kumar Seikh","4719 Sundhara",sompal.seikh282@mail.com
"Sompal Kumar K.C","6355 Tinkune",sompal.k.c283@demo.net
"Arif Dhoj Paudel","5371 Tripureshwor",arif.paudel284@random.org
"Paras Lal Kami","7578 Sundhara",paras.kami285@random.org
"Lalit Gopal Malla","9432 Ekantakuna",lalit.malla286@test.com
"Binod Dhoj Bhandari","1681 Ekantakuna",binod.bhandari287@mail.com
"Asif Bhagat Rajbanshi","2930 Ratnapark",asif.rajbanshi288@test.com
"Sompal Lal Seikh","1485 Chabel",sompal.seikh289@random.org
"Karan Dev Paudel","6459 Sundhara",karan.paudel290@example.com
"Rohit Dev Paudel","5165 Gaushala",rohit.paudel291@test.com
"Lalit Bahadur Khadka","4698 Jawalakhel",lalit.khadka292@test.com
"Rohit Lal Bhurtel","5685 Gaushala",rohit.bhurtel293@test.com
"Kushal Dev Bhurtel","5996 Ekantakuna",kushal.bhurtel294@random.org
"Asif Kumar Rajbanshi","5068 Gaushala",asif.rajbanshi295@random.org
"Kushal Bhopal Bhandari","9718 Sundhara",kushal.bhandari296@mail.com
"Paras Dhoj Lamichane","4564 Baneshwor",paras.lamichane297@random.org
"Kushal Gopal Khadka","9336 Gaushala",kushal.khadka298@example.com
"Paras Bahadur Malla","8467 Ratnapark",paras.malla299@mail.com
"Rohit Dhoj Kami","1027 Tinkune",rohit.kami300@example.com
"Sompal Dhoj Bhurtel","2718 Tinkune",sompal.bhurtel301@example.com
"Arif Bhagat Khadka","2782 Ekantakuna",arif.khadka302@test.com
"Lalit Dhoj Bhurtel","1254 New Road",lalit.bhurtel303@mail.com
"Lalit Dev Khadka","4346 Ratnapark",lalit.khadka304@mail.com
"Sompal Kumar Khadka","1377 Ekantakuna",sompal.khadka305@mail.com
"Binod Bir Malla","4607 Jawalakhel",binod.malla306@test.com
"Binod Lal Rajbanshi","7060 Chabel",binod.rajbanshi307@example.com
"Kushal Dev Paudel","3749 Tripureshwor",kushal.paudel308@random.org
"Asif Krishna Paudel","3010 Baneshwor",asif.paudel309@test.com
"Karan Bir Kami","3492 Ratnapark",karan.kami310@test.com
"Kushal Krishna Malla","9473 Ratnapark",kushal.malla311@example.com
"Lalit Bir Malla","2997 Baneshwor",lalit.malla312@test.com
"Sompal Bhopal Bhandari","5837 Ekantakuna",sompal.bhandari313@test.com
"Rohit Bhagat Rajbanshi","6685 Sundhara",rohit.rajbanshi314@random.org
"Sompal Dhoj Bhurtel","3614 Tripureshwor",sompal.bhurtel315@random.org
"Rohit Dev Rajbanshi","4443 Chabel",rohit.rajbanshi316@demo.net
"Arif Gopal Khadka","5863 Tripureshwor",arif.khadka317@example.com
"Rohit Dev Malla","3711 Ratnapark",rohit.malla318@example.com
"Lalit Dev Paudel","6914 Baneshwor",lalit.paudel319@test.com
"Sandeep Bhagat Bhandari","7093 Tinkune",sandeep.bhandari320@mail.com
"Asif Bahadur K.C","5957 Tinkune",asif.k.c321@example.com
"Rohit Bahadur Rajbanshi","2511 Ekantakuna",rohit.rajbanshi322@random.org
"Lalit Dhoj Malla","3295 Tripureshwor",lalit.malla323@example.com
"Asif Krishna Khadka","7705 Gaushala",asif.khadka324@mail.com
"Rohit Krishna Seikh","7456 Gaushala",rohit.seikh325@test.com
"Arif Kumar Bhandari","7706 Tripureshwor",arif.bhandari326@mail.com
"Karan Gopal Bhurtel","3729 Chabel",karan.bhurtel327@random.org
"Arif Dev Paudel","9280 New Road",arif.paudel328@mail.com
"Paras Gopal Bhurtel","9333 Ratnapark",paras.bhurtel329@mail.com
"Kushal Lal K.C","2938 Tripureshwor",kushal.k.c330@random.org
"Arif Bhagat Rajbanshi","1302 Tripureshwor",arif.rajbanshi331@test.com
"Paras Lal Kami","2683 Tripureshwor",paras.kami332@random.org
"Rohit Bahadur Khadka","6862 Sundhara",rohit.khadka333@test.com
"Kushal Gopal Kami","318 Tripureshwor",kushal.kami334@test.com
"Rohit Lal Bhurtel","188 Chabel",rohit.bhurtel335@random.org
"Sandeep Gopal Lamichane","1917 Ekantakuna",sandeep.lamichane336@mail.com
"Karan Kumar Lamichane","6461 Baneshwor",karan.lamichane337@random.org
"Kushal Dev K.C","2356 New Road",kushal.k.c338@test.com
"Karan Dhoj Lamichane","315 New Road",karan.lamichane339@example.com
"Sompal Krishna Rajbanshi","6176 Tripureshwor",sompal.rajbanshi340@demo.net
"Binod Bhopal Bhurtel","3559 Ratnapark",binod.bhurtel341@test.com
"Binod Bhagat K.C","5557 Chabel",binod.k.c342@random.org
"Paras Bir Bhandari","5098 Ratnapark",paras.bhandari343@example.com
"Kushal Krishna Kami","1350 Baneshwor",kushal.kami344@example.com
"Sompal Bhopal Bhandari","5322 Gaushala",sompal.bhandari345@random.org
"Kushal Dev Malla","4821 Tinkune",kushal.malla346@mail.com
"Binod Bhagat Lamichane","9545 Tripureshwor",binod.lamichane347@test.com
"Paras Lal Lamichane","9155 Sundhara",paras.lamichane348@example.com
"Lalit Bhopal K.C","5623 New Road",lalit.k.c349@mail.com
"Asif Bhagat Seikh","8839 Gaushala",asif.seikh350@mail.com
"Rohit Lal Lamichane","9103 Tinkune",rohit.lamichane351@test.com
"Paras Kumar Seikh","1124 Tripureshwor",paras.seikh352@mail.com
"Karan Bhagat Lamichane","2844 Ratnapark",karan.lamichane353@test.com
"Karan Krishna Rajbanshi","1555 Tinkune",karan.rajbanshi354@mail.com
"Lalit Krishna K.C","3609 Sundhara",lalit.k.c355@example.com
"Arif Krishna Paudel","9602 Baneshwor",arif.paudel356@test.com
"Binod Krishna Malla","1142 Jawalakhel",binod.malla357@demo.net
"Sompal Bhagat K.C","9213 Ekantakuna",sompal.k.c358@example.com
"Binod Bhagat Khadka","6090 Ratnapark",binod.khadka359@random.org
"Paras Kumar Paudel","5678 Ratnapark",paras.paudel360@random.org
"Sandeep Dhoj Bhandari","1658 Tripureshwor",sandeep.bhandari361@demo.net
"Sompal Lal Malla","6940 New Road",sompal.malla362@mail.com
"Arif Bhopal Bhurtel","8250 Jawalakhel",arif.bhurtel363@test.com
"Rohit Dev Paudel","4418 Sundhara",rohit.paudel364@mail.com
"Sandeep Lal Rajbanshi","1552 Baneshwor",sandeep.rajbanshi365@test.com
"Paras Dev Kami","2815 Ekantakuna",paras.kami366@test.com
"Sompal Gopal Rajbanshi","5065 Baneshwor",sompal.rajbanshi367@mail.com
"Lalit Bhagat Rajbanshi","3428 Ratnapark",lalit.rajbanshi368@random.org
"Karan Bhagat Kami","7787 Tripureshwor",karan.kami369@random.org
"Arif Krishna Bhurtel","3271 Baneshwor",arif.bhurtel370@example.com
"Asif Bhagat Bhurtel","453 Ekantakuna",asif.bhurtel371@test.com
"Rohit Bir Kami","486 Tripureshwor",rohit.kami372@demo.net
"Asif Lal Seikh","8835 Tripureshwor",asif.seikh373@demo.net
"Karan Kumar Bhandari","7846 Sundhara",karan.bhandari374@test.com
"Sompal Bhagat Kami","2012 Ratnapark",sompal.kami375@random.org
"Rohit Bahadur K.C","4000 Gaushala",rohit.k.c376@mail.com
"Sompal Kumar Kami","7105 Chabel",sompal.kami377@mail.com
"Karan Bhopal K.C","483 Jawalakhel",karan.k.c378@demo.net
"Asif Bir Rajbanshi","6826 Ratnapark",asif.rajbanshi379@mail.com
"Lalit Gopal Lamichane","4148 Ekantakuna",lalit.lamichane380@mail.com
