Full Name, Email, Address
Vanessa Hansen, jasmineaustin@whitehead.info, Netherlands
Joyce Foster, samuel97@wyatt.com, Korea
Marc Medina, karlgarrett@fischer.biz, Japan
Darren Santana, biancahenry@hernandez.org, French Southern Territories
Mario Moreno, marisa13@hickman.com, United States Minor Outlying Islands
Daniel Bush, billymorris@lambert-irwin.com, Bouvet Island (Bouvetoya)
Vanessa Davenport, barry91@howe.info, Guinea
Donald Terry, kdavies@owen-humphrey.info, Isle of Man
Jill Esparza, gregghendricks@conner-weiss.info, Indonesia
Tyler Richard, alfredbradford@perry.com, San Marino
Sonya Moore, ngilmore@bush.net, Guyana
Jonathon Gillespie, vgilbert@romero.biz, Sudan
Ryan Lin, dgould@graham-winters.com, Thailand
Joel Thomas, fsuarez@cooper-montes.biz, Guernsey
Judith Fischer, natasha83@delacruz-edwards.com, Isle of Man
Roy West, mbonilla@hampton.com, Micronesia
Rebekah Morton, basskaylee@lynn-gill.biz, Malaysia
Jeremy Guerra, lfaulkner@villanueva.com, Nauru
Brett Shelton, maystiffany@davidson.com, Solomon Islands
Gilbert Meza, katie69@romero.net, Egypt
Kurt Tapia, valerie35@olsen.com, Tokelau
Sarah Powell, ivanhiggins@charles-estrada.com, Palestinian Territory
Andrea Irwin, xcallahan@cantu.com, Bulgaria
Aimee Hodge, melvindrake@friedman-bradley.com, Aruba
Doris Drake, carpentergary@vance-weeks.com, Indonesia
Randy Tran, duartejohnathan@pennington.com, Libyan Arab Jamahiriya
Allison Webster, zbrock@blevins-payne.com, Turks and Caicos Islands
Nicholas Mcclure, phelpsandres@hartman-cooper.org, Nepal
Gene Wu, nataliefarley@richardson.com, Bulgaria
Kelli Bridges, daisyblair@walsh-holmes.org, Mongolia
Summer Washington, thomasnicholas@blankenship-ford.com, Grenada
Ann Ayala, hburke@duke-mcmahon.com, Ireland
Alfred Hooper, lonnielittle@hoffman-meadows.com, Papua New Guinea
Brandon Robbins, qmcdaniel@cruz.net, Netherlands
Wesley Cobb, austinvang@glenn.com, Congo
Caleb Salas, shortfrederick@cobb.net, Korea
George Long, yolanda69@rosario.com, Cote d'Ivoire
Taylor Kemp, michaela80@russell.com, Tuvalu
Steve Horn, ashley39@garrison.com, Kuwait
Danielle Spears, alan50@hobbs.info, Azerbaijan
Jillian Ortiz, hsantos@lopez.info, Israel
Joshua Ortega, robbinsgordon@dyer-kim.info, Uzbekistan
Sherry Cantu, meghanfernandez@patel-todd.com, Kiribati
Eric Pittman, gabrielarobbins@hawkins-bernard.com, France
Wanda Cowan, qlarson@berry.biz, Brunei Darussalam
John Chen, hmorgan@olson.com, Djibouti
Francisco Stanley, charlottemercer@hensley.net, Italy
Dillon Gallegos, escobarisabella@harrell-santiago.info, Macao
Rebekah Pruitt, jessica36@hart.com, Ghana
Marcia Vaughan, ellen80@bonilla.com, Equatorial Guinea
Sierra Bautista, chavezrandall@mckinney-stafford.net, Heard Island and McDonald Islands
Kevin Chase, gravesgrace@molina.org, Heard Island and McDonald Islands
Ronnie Hurley, hhuerta@morris-case.info, Liechtenstein
Justin Huang, ydavid@potter.com, Korea
Phyllis Cummings, colealexander@turner.biz, United Arab Emirates
Collin Jackson, carpenterkylie@chambers-frost.com, Greece
Terry Chapman, adrian55@gardner-gaines.com, Heard Island and McDonald Islands
Greg Cortez, bonillaalex@cervantes.org, Mayotte
Elaine Hendrix, maureen18@barr.org, Fiji
Marvin Buchanan, ocole@sanders-lowery.net, Cuba
Paul Moore, spencerbright@powell.biz, Brazil
Grant Tanner, dawncoffey@barker.com, Chad
Aimee Sims, anthonyzuniga@tucker.com, Grenada
Tammie Strong, carrillokenneth@bowman-montoya.com, Trinidad and Tobago
Lindsay Mullins, mercedes11@floyd-hall.com, American Samoa
Cristian Rush, dominguezparker@preston.net, British Virgin Islands
Terri Hurst, vernonrush@harvey.com, Luxembourg
Bobby Collier, samantha34@mccarthy.com, Mauritius
Misty Sanchez, joconnor@cooley.com, Vietnam
Christine Manning, toddmcmahon@beard-lambert.com, Slovenia
Rachael Forbes, veronicablankenship@pace.com, Macedonia
Jasmine Ryan, swarren@buck-roach.com, Poland
Yvette Short, garymelton@petersen-lam.org, Namibia
Chad Henry, mathisgloria@house-hamilton.org, Cyprus
Dustin West, patrickfelicia@goodwin.org, Estonia
Noah Gallagher, hortonmiguel@mays-rivers.org, Syrian Arab Republic
George Wiley, preston76@house.com, Venezuela
Ralph Merritt, moneal@hudson.biz, Saint Martin
Daryl Mejia, beckyshaw@bradley-booth.com, Bermuda
Monica Alvarez, kanthony@osborne.com, Egypt
Alejandra Berger, alexandraroy@juarez-kane.com, Tuvalu
Charles Daniel, ckhan@underwood.net, Lithuania
Frank Mueller, joe34@salazar.com, Tonga
Curtis Middleton, vernon36@browning.info, Luxembourg
Holly Fletcher, pammorales@james-benjamin.net, Thailand
Samuel Wong, paulcastaneda@burke.com, Taiwan
Duane Brock, sarahpotts@bradford.com, French Guiana
Kendra Petersen, wwhite@perez.com, Mozambique
Warren Fuller, orice@drake.com, Croatia
Jeremiah Klein, damon39@terrell.com, Gibraltar
Glenn Richards, watkinsevan@ward.biz, Turks and Caicos Islands
Austin Fitzpatrick, meredith05@lawrence-shaw.com, Netherlands Antilles
Kimberly Gregory, lacey04@cross.com, Singapore
Brady Mckay, travisfoley@brandt.com, Cape Verde
Suzanne Rhodes, hmccarty@sharp.biz, Kazakhstan
Carolyn Byrd, alisonsanders@durham.com, Burundi
Allison Miller, bjordan@small-black.com, Germany
Shaun Marsh, damonhowe@larsen.org, Svalbard & Jan Mayen Islands
Bryan Paul, tasha85@wilson.biz, Fiji
Jay Oconnell, oneilldamon@spencer.com, Grenada
Lorraine Bradshaw, weaverclinton@zamora.org, Cape Verde
Joe Chase, xtapia@hensley.info, Dominica
Cameron Crawford, fenglish@warner.net, United Kingdom
Daniel Vance, brendanbarrera@gill-thornton.info, Zimbabwe
Ryan Sanford, peggy95@park.info, Japan
Stefanie Singleton, kerriray@owen-stone.info, Liberia
Kimberly Sutton, nichole45@michael.org, Timor-Leste
Susan Eaton, daltonrangel@prince.biz, Benin
Paula Huff, vmyers@novak-delacruz.biz, Peru
Diamond Pollard, weavermeagan@sampson.com, Uzbekistan
Rose Hunter, hebertdarin@kidd.com, Costa Rica
Casey Miles, elizabethcopeland@morris-moss.info, Italy
Jennifer May, cannonshirley@carson-dorsey.com, Benin
Kim Garza, dana05@hester.net, Bangladesh
Monica Brown, willie99@snyder.com, Burundi
Tyler Oconnell, lunakirsten@zimmerman-salinas.org, Indonesia
Eduardo Garrett, marthaguerra@anderson.com, Vietnam
Christian Bender, joanne07@pennington.com, Croatia
Mackenzie Harrison, jerry26@hudson-acevedo.net, Australia
Kevin Fowler, katie93@norris.biz, Lesotho
Veronica Golden, gacosta@stephenson-tyler.biz, Falkland Islands (Malvinas)
Tanner Lawson, madisoncarey@spence-beck.info, Guinea
Bridget Vaughan, kari95@henry.org, Svalbard & Jan Mayen Islands
Jody Hoover, tiffany09@perkins.com, Bulgaria
Andrew Boyle, davefarmer@neal-farrell.org, Bolivia
Ebony Noble, lydiameyers@frederick.com, Christmas Island
Jeffrey Molina, timothyrivera@wade-galloway.net, France
Philip Christian, harmonmadison@finley-clarke.net, Mali
Patty Estes, vincent58@norton.com, Mozambique
Walter Myers, brandibarker@peterson.net, Honduras
Connie Barker, lindsayrocha@preston.org, Rwanda
Gabriella Huerta, daniel75@hansen.com, Monaco
Shawn Knight, eschultz@salas.com, Wallis and Futuna
Steve Booth, perry87@nichols.biz, Saint Helena
Bridget Guerra, frederickmisty@carpenter-nielsen.net, Estonia
Ashlee Murillo, jodonnell@oliver.com, Cuba
Sonya Lawrence, ehampton@lopez-brandt.org, Guernsey
Monique Ewing, evansstuart@griffin.org, Antigua and Barbuda
Dominique Pacheco, kristina23@carr-arias.com, United Arab Emirates
Brandon Browning, gabriellanorton@robertson.org, Libyan Arab Jamahiriya
Claudia Woods, lonnieguerra@cooke.com, Jamaica
Tanner Lopez, cowandeanna@house.com, Guatemala
Martha Small, reginahancock@walker.org, El Salvador
Leah Kirk, jasmin18@juarez-richmond.com, Guernsey
Courtney Arellano, sandy44@thomas.com, Tuvalu
Stacy Hayden, gravesalisha@harrell.info, Spain
Glen Bullock, bcole@stevens.com, Swaziland
Jade Leonard, jessica41@klein.biz, Oman
Gabriela Mcfarland, guymorrow@romero-owen.com, San Marino
Gavin Steele, manuel95@holden-franklin.com, Puerto Rico
Gloria Boone, yreyes@rowe.com, Palau
Danielle Moyer, russorussell@galloway.biz, Costa Rica
Autumn Reese, craigwhitney@carrillo.info, Sierra Leone
Melissa Bullock, cwolf@arellano.com, Central African Republic
Rickey Paul, bweaver@levy.info, Costa Rica
Barbara Cardenas, wflynn@andersen.com, Tuvalu
Angel Velez, pcannon@choi.com, Botswana
Kaitlyn Collins, luis12@buck.com, Guatemala
Amanda Harper, fieldskelly@blackburn.biz, Chad
Rita Serrano, vwhite@peterson-gould.com, Montserrat
Stephen Robbins, cuevasgeorge@navarro-mcmahon.com, Haiti
Robyn Abbott, breanna32@mayer.net, Somalia
Javier Cantrell, kwarner@barrera.org, Estonia
Seth Washington, sharpgreg@rubio-garrison.org, Zimbabwe
Marvin Suarez, usloan@harrington.com, Myanmar
Norman Washington, ariana05@kelly-arellano.com, Iraq
Leroy Hamilton, edward56@parks.biz, Ghana
Heidi Fletcher, gcollier@golden.com, Chile
Jose Morse, woodsdevin@maldonado.org, Chad
Sue Pruitt, mcbridekylie@mcdowell-christensen.com, Malawi
Alejandro Peterson, rothkerry@atkins-porter.com, United Arab Emirates
Joel Pearson, jerrygates@garner.net, Luxembourg
Gina Meadows, jack76@compton.com, Trinidad and Tobago
Claudia Dickson, kaitlinbooth@hurley.com, Central African Republic
Mandy Shannon, hillterrance@gamble.info, New Zealand
Darlene Vasquez, mosleyross@lawrence.com, Malaysia
Tyrone Oconnell, malik63@frazier-nichols.biz, Malaysia
Christine Walker, luceromaxwell@wong.biz, France
Kristopher Shah, luis82@sparks.com, United Kingdom
Eric Mitchell, lauren64@faulkner-hood.info, American Samoa
Christian Schmidt, elutz@medina-garcia.com, Denmark
David Simpson, knappalisha@franco.org, Taiwan
Cassandra Keith, yolanda40@rhodes.com, Armenia
Leah Hoffman, xortiz@gates.com, Fiji
Carmen Tyler, obates@bennett-nicholson.net, Liberia
Holly Ford, sabrinaerickson@wise.info, India
Max Gates, xrollins@mcfarland.com, Micronesia
Breanna Gaines, yolanda53@thomas.info, Maldives
Kendra Wilson, lucas94@barrera.com, Bolivia
Madeline Jordan, wisediane@dean.com, Cayman Islands
Ernest Stafford, tonyaruiz@farmer.com, Reunion
Olivia Saunders, triciarichards@shelton.net, Korea
Tricia Barrera, philip88@carr.biz, Paraguay
Carly Bullock, josephchaney@roach-rocha.info, Austria
Mackenzie Stuart, shanecuevas@terry.com, Mauritius
Ashlee Lamb, aserrano@webb.org, Lithuania
Danielle Huang, ericksoncheyenne@taylor.com, Norway
Paul Hendricks, dorothy66@howe-kim.com, Croatia
Leslie Ramos, oscar33@holden-morrow.com, Montenegro
Louis Carpenter, jacobskurt@dalton-small.com, Wallis and Futuna
Tanner Whitehead, iosborn@brady.com, Belize
Sheri Arnold, walterfrye@good-boyer.com, Haiti
Hunter Lawrence, samuelwelch@reid.net, Zimbabwe
Dennis Moran, wcole@bell.info, Tuvalu
Karl Stephens, miguelmathis@crawford.info, American Samoa
Brenda Hale, romeroangie@cunningham.org, Marshall Islands
Nicolas Lee, vbooker@donovan-stokes.info, Anguilla
Sonya Savage, cheyenne64@solomon.net, Paraguay
Alfred Duffy, rmcfarland@shelton.com, Mozambique
Renee Serrano, tammyspence@day.org, Ethiopia
Jay Rosales, joanna47@davidson.org, American Samoa
Darlene Arellano, jeffrey24@douglas-landry.com, Gambia
Clifford Shea, burnettrebecca@brewer.info, Swaziland
Rose Case, cassandrastrong@ramos.com, Marshall Islands
Kaitlyn Horn, cortega@johnston.com, Turkey
Priscilla Cortez, jenny52@berry.com, Jordan
Isaiah Howe, rachael63@cooley.com, Brunei Darussalam
Kara Pugh, lucas29@mccoy.net, Ireland
Leslie Little, thomasstefanie@garner-cooper.com, Congo
Maurice Owen, porterlogan@duffy.biz, Holy See (Vatican City State)
Penny Baxter, brett70@reilly.com, Barbados
Morgan Silva, lpatton@robinson.com, Georgia
Patrick Barnett, cassie94@booth.biz, Saudi Arabia
Kristi Chen, woodscollin@vargas.com, Japan
Geoffrey Hurley, montgomeryjasmin@oneal-hutchinson.com, Oman
Gary Le, emilygarrett@navarro-howe.info, Bulgaria
Tina West, gutierrezrandall@rasmussen.com, Myanmar
Karen Campbell, rachaelking@silva-choi.com, Liberia
Terrence Frye, bradley72@fowler-durham.org, Malta
Cristina Sanchez, matthew67@irwin-mcknight.info, Cape Verde
Rebekah Weiss, stoutwilliam@forbes.com, Oman
Kayla Ferguson, shopkins@murphy-fleming.com, Slovakia (Slovak Republic)
Martha Molina, pratthector@ferrell.info, Fiji
Janet Zimmerman, dan28@walter-richard.info, Luxembourg
Jesus Haynes, zramsey@gallagher-briggs.biz, Namibia
Audrey Levine, kristinemunoz@neal-kline.com, Mozambique
Kristina Larson, sloanmeagan@key.com, Ireland
Joanna Carr, chelsea29@brooks.org, Monaco
Bianca Daniel, lawrencehansen@duke.com, Botswana
Angel Garcia, malonejanet@harvey.com, Brunei Darussalam
Miguel Morales, joan09@hart.com, Gibraltar
Tiffany Bruce, latashaburch@woodward.com, China
Deborah Atkins, brettmorrison@bernard-knapp.com, Cook Islands
Evelyn Huynh, jmullins@craig.com, Saint Helena
Desiree Hopkins, pittmansamuel@proctor-gamble.biz, New Caledonia
Brad Booker, robinfitzpatrick@hardy.biz, Maldives
Sue Lowe, malik44@stanton-salazar.com, Chile
Sheena Donaldson, candace29@diaz.com, Brazil
Kari Morton, jaredchase@solis.net, Malta
Phillip Mccarty, shirleybeasley@hurley.info, Malta
Shawna Beasley, kowens@peterson-jimenez.com, Saint Pierre and Miquelon
Ray Yu, zfigueroa@cummings.com, French Polynesia
Damon Stanton, yesenia49@lester-martinez.com, New Zealand
Annette Zavala, matthewssamantha@english.com, Nauru
Michaela Keith, astone@dalton.com, Malta
Valerie Pace, walldarius@riggs.com, Slovenia
Danny Hall, regina78@sampson.net, Norway
Kristy Paul, kirsten26@chaney-stephens.com, United States Minor Outlying Islands
Kelsey Rowland, stacybradford@callahan-powers.com, Antarctica (the territory South of 60 deg S)
Alyssa Woodard, wbuckley@randall.com, Panama
Deanna Larsen, arthur45@valencia.net, Angola
Jackson Sawyer, hectorlewis@gay-goodman.org, American Samoa
Chloe Hodges, ldiaz@barr-russo.com, Lesotho
Brooke Dominguez, elijah82@chambers.org, Albania
Kristopher Hammond, pgreene@stanton.info, Vietnam
Lauren Allison, kristinwhitaker@bullock-wilkerson.com, Mauritius
Gloria Walters, jillfoley@oconnor-french.com, Guernsey
Wanda Lara, bhenderson@ashley.net, Reunion
Albert Mendoza, mspencer@blackwell.biz, Christmas Island
Wayne Gomez, hollowaykatherine@jones.com, Vanuatu
Elijah Wagner, opace@conway.net, Somalia
Vicki Davies, joseph80@hunt.com, Denmark
Angie Navarro, kirstennicholson@terrell.com, Namibia
Mindy Kelly, vfaulkner@thompson.com, Chad
Dominic Frost, lisamathews@huff.com, Tuvalu
Judith Holden, joy10@johnston-oneal.info, Isle of Man
Maria Conrad, gabriel57@spence-thompson.com, Norway
Phyllis Fischer, catherine30@lewis.org, Trinidad and Tobago
Caitlin Hardy, toddarcher@haley.org, Fiji
Katie Rios, jeffersonbrandi@cannon-trevino.com, Croatia
Derek Soto, kyates@holder-coffey.org, Ireland
Maureen Brown, xgarcia@ross-hatfield.com, Nicaragua
Melanie Ingram, michaelcheyenne@ewing.info, Bangladesh
Kristopher Bailey, marco90@friedman-franco.net, United States Minor Outlying Islands
Justin Hendrix, fphelps@cole-gay.com, Costa Rica
Curtis Armstrong, monique66@daniel.info, Comoros
Crystal Baxter, clintonsuarez@duke-garner.com, Cook Islands
Leon Washington, tanyameza@matthews-paul.info, Slovakia (Slovak Republic)
Erik Haney, kaylakirk@reynolds.com, Russian Federation
Faith Park, mosstina@french-burnett.net, Central African Republic
Joy Valencia, rgrant@booth.info, Chile
Sierra Green, tasha23@cooley-vance.com, American Samoa
Jasmine Fisher, arellanoerin@roberts.org, Turkmenistan
Anthony Clarke, warelydia@coleman-morrow.com, Martinique
Courtney Christensen, shannonevans@watkins.com, Azerbaijan
Jamie Vincent, gonzalezjonathan@arias-lee.info, Belgium
Phillip Burton, dalton27@barron.com, Saint Pierre and Miquelon
Daisy Moss, jordanhodges@huff-hensley.biz, Ecuador
Janet Cisneros, jimmymcfarland@mcdonald.net, French Guiana
Cassidy Conner, jacobrojas@cummings-kelly.com, Uganda
Carrie Downs, marilynandrews@cobb-watkins.com, Jamaica
Carmen Walsh, bradleysophia@burnett.com, Bermuda
Anita Daniel, valentinecaitlyn@henry.com, Angola
Jacob Livingston, elaine95@kerr.com, Philippines
Brent Maldonado, phillip17@wade.net, Puerto Rico
Alexandria Walters, clifford91@combs.com, Slovenia
Chase Cooke, zrobbins@ross.net, Bosnia and Herzegovina
Brady Foster, shelby36@lawrence-love.com, Chad
Ronald Bradshaw, isabelburnett@kaufman-stevenson.com, United States of America
Bridget Porter, buckleyperry@herring.com, Uganda
Meredith Merritt, juliannash@richardson.org, United Kingdom
Briana Barnett, fryjeff@baxter.com, Israel
Grant Mclaughlin, cindypatton@page.biz, China
Brandy Newton, qmaddox@huber.net, Guinea
Guy Brennan, angieosborne@michael-simon.com, Trinidad and Tobago
Ann Simmons, xharper@stevenson.com, Cape Verde
Willie Estes, bairdangie@villegas.biz, Guadeloupe
Joan Gregory, xvang@schmidt.com, Korea
Rebekah Barnes, christianmata@gates.com, Pakistan
Meghan Chaney, emorgan@kelly.net, Mauritius
Peggy Mckenzie, vargasnoah@johns.com, Saint Lucia
Jill Schaefer, bfitzpatrick@kelly.com, Cook Islands
Drew Patterson, mbanks@dorsey-sanchez.biz, Congo
Melissa Potts, nicholas11@lyons.org, Bosnia and Herzegovina
Frances Rosario, anita51@bailey-miranda.net, French Polynesia
Kelli Adams, blakedunlap@bautista.com, Costa Rica
Melissa Boyer, chendrix@duncan.com, Slovenia
Cynthia Bryan, zhubbard@reilly-mccall.net, New Zealand
Sandy Schaefer, nrandall@brown.com, Croatia
Robert Perry, romandeborah@carter.com, Liberia
Gerald Morales, mckenzieroberta@leach.org, Congo
Bill Hardy, antonio01@schmidt.org, Fiji
Mallory Fisher, campbellcarla@bond-fischer.info, Uganda
Kevin Esparza, ryanchristina@byrd.org, Germany
Justin Mata, dorothymaxwell@patton-fernandez.com, Thailand
Sally Golden, stricklandregina@perez.info, Morocco
Samuel Yates, ayerschris@gilbert-landry.org, Spain
Carla Wolfe, aaron28@arellano-lang.net, Kazakhstan
Caitlin Hendrix, barrybecker@bauer.com, Poland
Willie Flynn, marissa82@charles-moore.net, Madagascar
Sydney Edwards, flemingvernon@bean-le.com, Denmark
Jim Villegas, fpope@buck-carney.info, Ghana
Kaylee Ramsey, mbright@henry.com, Barbados
Laura Zamora, mchandler@bailey.org, Uganda
Sierra Roberson, cindymclaughlin@jackson.com, Fiji
Martha Rhodes, rmoses@tanner.net, Albania
Kristi Cortez, evelyn41@stanton.net, Norway
Damon Daugherty, wbarton@orozco-banks.com, Macao
Jeffrey Hunt, qreid@mckay.org, Guadeloupe
Rebekah Valencia, marc51@gibson-wood.com, Burundi
Todd Quinn, roberthenry@davenport-middleton.org, Cyprus
Clarence Church, daniellebooth@underwood.info, Hong Kong
Candice Livingston, thall@soto.com, Mexico
Ana Lopez, bwalter@church.net, Angola
Norman Lang, jenna30@dickerson-vaughn.biz, Guadeloupe
Becky Allison, longcindy@wheeler.com, Netherlands Antilles
Sean Warren, soniamcguire@mullins-stevenson.com, Ukraine
Vickie Finley, eavila@allen-gillespie.com, Guinea
Erin Boyer, leslie12@pitts-holland.com, Heard Island and McDonald Islands
Ariana Avila, mcgrathkatie@lynch-conway.com, Christmas Island
Tanner Nguyen, grossstuart@cooke.com, Turks and Caicos Islands
Sheila Cardenas, ibenitez@maxwell-martin.org, Romania
Chris Keith, gilmoredustin@kerr.org, Paraguay
Bradley Sanford, nunezsavannah@henderson.info, Honduras
Ariana Carney, caitlynrosario@maldonado-stevenson.com, Bulgaria
Elizabeth Logan, kirkbradford@ibarra-bradford.info, Paraguay
Adrienne White, leroy07@becker-winters.com, Malaysia
Zachary Shaffer, avilasummer@hensley-richmond.net, Czech Republic
Mercedes Hester, thomas95@watson.info, Eritrea
Stephanie Rivera, daniel67@davidson-stephenson.com, Micronesia
Francis Bradford, alejandra14@quinn.com, Sudan
Marilyn Peck, stacy53@gardner.com, Western Sahara
Greg Wiggins, ymcdowell@johnson.org, South Georgia and the South Sandwich Islands
Glen Clarke, lbarron@lutz.org, Kiribati
Kevin Munoz, eboyer@hebert-rosario.info, Seychelles
Jasmine Brennan, uarroyo@david-greer.net, Tunisia
Janice Baldwin, sbrooks@sloan.com, Liechtenstein
Pam Atkins, gdoyle@hooper-johnston.com, Taiwan
Bill Gates, chanselena@pitts.info, Cook Islands
Hayley Swanson, rickybarrera@mathis-nicholson.com, Sri Lanka
Jack Maddox, parkcorey@navarro.com, Estonia
Judy Middleton, tuckeradriana@cannon.com, Belarus
Allison Hill, charlotte25@christensen-allison.com, Uruguay
Jack Robbins, haasderrick@ortega-kirk.org, Norway
Lisa Blackwell, nlawrence@miles.biz, French Polynesia
Cole Byrd, obrienisabel@braun.com, Aruba
Randy Gomez, bishopbryan@mcpherson-rosario.com, Iran
Ashlee Koch, mooreian@arias-lloyd.org, United States of America
Mitchell Horton, erinlittle@carroll-duncan.com, Bouvet Island (Bouvetoya)
Guy Williams, austin73@gordon.net, Saint Kitts and Nevis
Erika Thompson, nkoch@hardy-wallace.info, Slovenia
Autumn Rogers, byoung@bailey.com, Panama
Dan Murray, kathleenle@martin.com, Moldova
Herbert Tran, meadowsmandy@baker.info, Bolivia
Zoe Rojas, lynnkelli@kirk-bell.org, United Arab Emirates
Theresa Holt, brent19@sullivan-schaefer.org, Belarus
Kristi Dixon, lindsaymiranda@atkinson.info, Palau
Marisa Patrick, zwall@page.org, Mozambique
Tricia Fletcher, bconner@hartman.com, Myanmar
Daniel Carrillo, parkerlogan@sutton-wheeler.com, Kenya
Parker Brady, yvonne79@mcconnell-warner.com, Singapore
Summer Hancock, rmcknight@bryan-king.com, Gibraltar
Samantha Maddox, mortonsally@walls.info, Bahamas
Chelsey Tapia, wallacekristy@cross-oconnell.com, Moldova
Kayla Fry, patriciagiles@oneill-chung.com, Botswana
Dave Jensen, howard17@hickman.com, Bhutan
Colin Hammond, jaime31@gray.com, Senegal
Jay Bright, dan44@chan.org, Portugal
Caitlyn Cross, jefferyhammond@guerra-chase.biz, Solomon Islands
Sydney Burnett, makaylafrost@pham.com, Rwanda
Sherry Vincent, zdaniels@tate.com, Nauru
Ricardo Pena, elizabethhobbs@parker.com, Saudi Arabia
Anne Harper, josedudley@andersen.com, Bhutan
Sierra Crane, goodwinpenny@rojas-warner.org, Guinea-Bissau
Joseph Steele, volson@carter-barr.info, Samoa
Destiny Snow, alejandro05@bradshaw-chen.com, United States of America
Jaclyn Cardenas, phebert@farmer.com, Hong Kong
Monica Duffy, rramsey@graham-conrad.org, Belarus
Logan Dickerson, rachael73@spencer.com, Heard Island and McDonald Islands
Sonya Calderon, kevinwallace@woodard.com, Trinidad and Tobago
Daniel Charles, marvinwoodard@lam.biz, Libyan Arab Jamahiriya
Ellen Mayo, michaelclinton@gross.com, Sweden
Bryan Odom, gillespienorma@cline-boyd.org, Chile
Lydia Banks, nbuck@dalton.com, New Zealand
Kathleen Everett, mark58@blackwell-prince.com, Jordan
Mckenzie Joyce, bethcannon@brock.net, Western Sahara
Ivan Kim, lcollier@boyd-hobbs.com, Senegal
Shirley Anthony, phillipshayley@carr.com, French Polynesia
Collin Ortega, ufriedman@rowland.org, Norfolk Island
Alisha Brooks, djarvis@gonzales.org, Vanuatu
Ruben Berger, ivanroman@hamilton.org, Iran
Faith Flores, eric18@avery.com, Guernsey
Briana Melton, haleymeadows@coffey.com, Saint Barthelemy
Colleen Duffy, fshepard@arias-rosario.net, Papua New Guinea
Amber Andrade, watsonandres@clarke.com, Bolivia
Samantha Singh, annahood@herrera.info, Kuwait
Edward Mcclain, cherrykurt@durham.org, Equatorial Guinea
Leon Harmon, johnny51@davenport.com, Cote d'Ivoire
Misty Fry, armstrongsheena@sullivan.net, Spain
Kirsten Gardner, castillodan@coleman-ross.com, Thailand
Lacey Levy, houstondesiree@neal-combs.org, Belarus
Kristina Daniel, larajody@donovan.net, Hungary
Cory Mcintyre, huntjade@anthony-mack.info, Central African Republic
Christian Thornton, gschultz@rollins.com, Norway
Brent Moses, george53@mcintyre.com, Vietnam
Andres Hebert, nathaniel36@livingston.com, Iceland
Jerome Bolton, barronfranklin@mays.com, Saint Kitts and Nevis
Krystal James, daryl93@pruitt-bass.com, Serbia
Helen Farmer, tyrone99@english.com, Lao People's Democratic Republic
Stacie Ali, huynhsydney@morgan-townsend.net, Peru
Tricia Waller, gilesjamie@hall.com, Uruguay
Tina Best, xzuniga@reed-shaffer.com, Haiti
Hailey Werner, edwardsmelissa@blackwell-riddle.com, Ghana
Dan Kerr, garnerjeremiah@gonzales.org, Indonesia
Louis Alvarado, connor42@hutchinson.com, Iran
Melvin Reese, derrick15@gutierrez.com, Svalbard & Jan Mayen Islands
Alice Whitehead, cbass@orozco-friedman.com, Bhutan
Ray Tran, wyattselena@branch.com, Tunisia
Crystal Barry, kathybradshaw@anderson-steele.com, Ethiopia
